SEM_EXM_EXCH_ID,SEM_TRADING_SYMBOL,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_SEGMENT
NSE,360ONE,13061,360ONE,EQUITY
NSE,ABB,13,ABB,EQUITY
NSE,ABCAPITAL,21614,ABCAPITAL,EQUITY
NSE,ADANIENSOL,10217,ADANIENSOL,EQUITY
NSE,ADANIENT,25,ADANIENT,EQUITY
NSE,ADANIGREEN,3563,ADANIGREEN,EQUITY
NSE,ADANIPORTS,15083,ADANIPORTS,EQUITY
NSE,ALKEM,11703,ALKEM,EQUITY
NSE,AMBER,1185,AMBER,EQUITY
NSE,AMBUJACEM,1270,AMBUJACEM,EQUITY
NSE,ANGELONE,324,ANGELONE,EQUITY
NSE,APLAPOLLO,25780,APLAPOLLO,EQUITY
NSE,APOLLOHOSP,157,APOLLOHOSP,EQUITY
NSE,ASHOKLEY,212,ASHOKLEY,EQUITY
NSE,ASIANPAINT,236,ASIANPAINT,EQUITY
NSE,ASTRAL,14418,ASTRAL,EQUITY
NSE,AUBANK,21238,AUBANK,EQUITY
NSE,AUROPHARMA,275,AUROPHARMA,EQUITY
NSE,AXISBANK,5900,AXISBANK,EQUITY
NSE,BAJAJFINSV,16675,BAJAJFINSV,EQUITY
NSE,BAJFINANCE,317,BAJFINANCE,EQUITY
NSE,BANDHANBNK,2263,BANDHANBNK,EQUITY
NSE,BANKBARODA,4668,BANKBARODA,EQUITY
NSE,BANKINDIA,4745,BANKINDIA,EQUITY
NSE,BDL,2144,BDL,EQUITY
NSE,BEL,383,BEL,EQUITY
NSE,BHARATFORG,422,BHARATFORG,EQUITY
NSE,BHARTIARTL,10604,BHARTIARTL,EQUITY
NSE,BHEL,438,BHEL,EQUITY
NSE,BIOCON,11373,BIOCON,EQUITY
NSE,BLUESTARCO,8311,BLUESTARCO,EQUITY
NSE,BOSCHLTD,2181,BOSCHLTD,EQUITY
NSE,BPCL,526,BPCL,EQUITY
NSE,BRITANNIA,547,BRITANNIA,EQUITY
NSE,BSE,19585,BSE,EQUITY
NSE,CAMS,342,CAMS,EQUITY
NSE,CANBK,10794,CANBK,EQUITY
NSE,CDSL,21174,CDSL,EQUITY
NSE,CGPOWER,760,CGPOWER,EQUITY
NSE,CHOLAFIN,685,CHOLAFIN,EQUITY
NSE,CIPLA,694,CIPLA,EQUITY
NSE,COALINDIA,20374,COALINDIA,EQUITY
NSE,COFORGE,11543,COFORGE,EQUITY
NSE,COLPAL,15141,COLPAL,EQUITY
NSE,CONCOR,4749,CONCOR,EQUITY
NSE,CROMPTON,17094,CROMPTON,EQUITY
NSE,CUMMINSIND,1901,CUMMINSIND,EQUITY
NSE,DABUR,772,DABUR,EQUITY
NSE,DALBHARAT,8075,DALBHARAT,EQUITY
NSE,DELHIVERY,9599,DELHIVERY,EQUITY
NSE,DIVISLAB,10940,DIVISLAB,EQUITY
NSE,DIXON,21690,DIXON,EQUITY
NSE,DLF,14732,DLF,EQUITY
NSE,DMART,19913,DMART,EQUITY
NSE,DRREDDY,881,DRREDDY,EQUITY
NSE,EICHERMOT,910,EICHERMOT,EQUITY
NSE,ETERNAL,5097,ETERNAL,EQUITY
NSE,EXIDEIND,676,EXIDEIND,EQUITY
NSE,FEDERALBNK,1023,FEDERALBNK,EQUITY
NSE,FORTIS,14592,FORTIS,EQUITY
NSE,GAIL,4717,GAIL,EQUITY
NSE,GLENMARK,7406,GLENMARK,EQUITY
NSE,GMRAIRPORT,13528,GMRAIRPORT,EQUITY
NSE,GODREJCP,10099,GODREJCP,EQUITY
NSE,GODREJPROP,17875,GODREJPROP,EQUITY
NSE,GRASIM,1232,GRASIM,EQUITY
NSE,HAL,2303,HAL,EQUITY
NSE,HAVELLS,9819,HAVELLS,EQUITY
NSE,HCLTECH,7229,HCLTECH,EQUITY
NSE,HDFCAMC,4244,HDFCAMC,EQUITY
NSE,HDFCBANK,1333,HDFCBANK,EQUITY
NSE,HDFCLIFE,467,HDFCLIFE,EQUITY
NSE,HEROMOTOCO,1348,HEROMOTOCO,EQUITY
NSE,HINDALCO,1363,HINDALCO,EQUITY
NSE,HINDPETRO,1406,HINDPETRO,EQUITY
NSE,HINDUNILVR,1394,HINDUNILVR,EQUITY
NSE,HINDZINC,1424,HINDZINC,EQUITY
NSE,HUDCO,20825,HUDCO,EQUITY
NSE,ICICIBANK,4963,ICICIBANK,EQUITY
NSE,ICICIGI,21770,ICICIGI,EQUITY
NSE,ICICIPRULI,18652,ICICIPRULI,EQUITY
NSE,IDEA,14366,IDEA,EQUITY
NSE,IDFCFIRSTB,11184,IDFCFIRSTB,EQUITY
NSE,IEX,220,IEX,EQUITY
NSE,IIFL,11809,IIFL,EQUITY
NSE,INDHOTEL,1512,INDHOTEL,EQUITY
NSE,INDIANB,14309,INDIANB,EQUITY
NSE,INDIGO,11195,INDIGO,EQUITY
NSE,INDUSINDBK,5258,INDUSINDBK,EQUITY
NSE,INDUSTOWER,29135,INDUSTOWER,EQUITY
NSE,INFY,1594,INFY,EQUITY
NSE,INOXWIND,7852,INOXWIND,EQUITY
NSE,IOC,1624,IOC,EQUITY
NSE,IRCTC,13611,IRCTC,EQUITY
NSE,IREDA,20261,IREDA,EQUITY
NSE,IRFC,2029,IRFC,EQUITY
NSE,ITC,1660,ITC,EQUITY
NSE,JINDALSTEL,6733,JINDALSTEL,EQUITY
NSE,JIOFIN,18143,JIOFIN,EQUITY
NSE,JSWENERGY,17869,JSWENERGY,EQUITY
NSE,JSWSTEEL,11723,JSWSTEEL,EQUITY
NSE,JUBLFOOD,18096,JUBLFOOD,EQUITY
NSE,KALYANKJIL,2955,KALYANKJIL,EQUITY
NSE,KAYNES,12092,KAYNES,EQUITY
NSE,KEI,13310,KEI,EQUITY
NSE,KFINTECH,13359,KFINTECH,EQUITY
NSE,KOTAKBANK,1922,KOTAKBANK,EQUITY
NSE,KPITTECH,9683,KPITTECH,EQUITY
NSE,LAURUSLABS,19234,LAURUSLABS,EQUITY
NSE,LICHSGFIN,1997,LICHSGFIN,EQUITY
NSE,LICI,9480,LICI,EQUITY
NSE,LODHA,3220,LODHA,EQUITY
NSE,LT,11483,LT,EQUITY
NSE,LTF,24948,LTF,EQUITY
NSE,LTIM,17818,LTIM,EQUITY
NSE,LUPIN,10440,LUPIN,EQUITY
NSE,M&M,2031,M&M,EQUITY
NSE,MANAPPURAM,19061,MANAPPURAM,EQUITY
NSE,MANKIND,15380,MANKIND,EQUITY
NSE,MARICO,4067,MARICO,EQUITY
NSE,MARUTI,10999,MARUTI,EQUITY
NSE,MAXHEALTH,22377,MAXHEALTH,EQUITY
NSE,MAZDOCK,509,MAZDOCK,EQUITY
NSE,MCX,31181,MCX,EQUITY
NSE,MFSL,2142,MFSL,EQUITY
NSE,MOTHERSON,4204,MOTHERSON,EQUITY
NSE,MPHASIS,4503,MPHASIS,EQUITY
NSE,MUTHOOTFIN,23650,MUTHOOTFIN,EQUITY
NSE,NATIONALUM,6364,NATIONALUM,EQUITY
NSE,NAUKRI,13751,NAUKRI,EQUITY
NSE,NBCC,31415,NBCC,EQUITY
NSE,NESTLEIND,17963,NESTLEIND,EQUITY
NSE,NHPC,17400,NHPC,EQUITY
NSE,NMDC,15332,NMDC,EQUITY
NSE,NTPC,11630,NTPC,EQUITY
NSE,NUVAMA,18721,NUVAMA,EQUITY
NSE,NYKAA,6545,NYKAA,EQUITY
NSE,OBEROIRLTY,20242,OBEROIRLTY,EQUITY
